who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,strategies,best-strategy,attend?,prediction
0,9.9,167,-17,-17,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.7895704880855974 -0.6622872165874594 -0.4465248860891722 -0.4165055433457321 -0.5468430549608556 -0.9420989853470869] [-0.9082602367548724 -0.6829770321585515 -0.583799245288718 -0.09740056640015426 -0.5063769531825191 0.5548219021060008] [0.5990838351079895 -0.1053341214248813 -0.4622955128416377 -0.3315714791586677 0.5503845447435238 0.40131231464591743] [0.08359677604386873 0.38835963768544635 0.609411480311556 0.15376704191330126 0.22092973589853715 -0.5552960703034631] [-0.1688717234449404 0.060827396784422616 -0.8436489329805115 0.5368661721251493 -0.27360719352411644 -0.3903569228680184] [0.5508385977491883 -0.9227795823714147 -0.37852526708459333 0.707100106223957 0.1662032012912551 0.40964318501658314] [-0.8649602232615548 -0.6745587848998575 -0.7471071061067478 -0.33984125882107774 0.4206296340318363 0.4843342570542146] [-0.23035365248339623 0.3060898996629844 -0.2667149972007492 0.9287585263944784 0.28840157262618615 -0.9769481502816426] [-0.5920720447654899 0.7336809117916985 -0.7254493495982979 -0.9834376783657637 -0.06299353689786669 0.08006435444772309] [-0.7311789378388058 -0.21406161786373423 0.9820754620134025 -0.8666642874566046 -0.38498391118410913 0.0771189483301018]],[0.5990838351079895 -0.1053341214248813 -0.4622955128416377 -0.3315714791586677 0.5503845447435238 0.40131231464591743],0,-124.26162192795746
1,9.9,222,22,-15,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.61924923990947 0.5097669301869243 -0.14536023433635337 0.16336320738770738 -0.7540720488667774 -0.1983501682891453] [-0.9927233235305206 0.8003037829465243 -0.8505762595855977 -0.7037367633837914 -0.9635523426742352 -0.7324586646350808] [0.749046832624835 -0.7432380765869047 0.11401255525070253 0.10471625322758027 0.5848172139133849 0.5763950569432068] [0.558352623047579 -0.4985628137043556 0.22216493451593222 -0.21722666272537383 0.0995688358054947 0.18035250090953947] [0.33727339153776725 0.2566598617925817 0.1277952089086094 -0.7050306913674345 0.255209066693004 -0.42423930592647774] [-0.4802283476389353 -0.06003556389400844 -0.8573799794672303 0.5484035851060782 0.015821368272432856 0.9060041438102251] [-0.11654340956332443 -0.5369990899936279 0.3578465269025852 0.6382611099194013 0.9257848439742209 -0.9877124986905681] [0.0826506501467863 0.6557658129448096 0.18108279212841683 -0.686951078273238 0.273368757567656 -0.012829536852221546] [0.24573132911019036 -0.570506330922796 0.34793347270964703 -0.1903127460955436 0.9138880237710514 0.9279984216686132] [-0.08272942507604841 -0.4936820242701301 0.6740414121532772 -0.11402312438485684 0.8309853941136858 0.4000096005775893]],[0.558352623047579 -0.4985628137043556 0.22216493451593222 -0.21722666272537383 0.0995688358054947 0.18035250090953947],0,80.75569988723339
2,9.9,151,17,-18,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.6172451941809729 -0.46252146324945786 -0.236334395323351 -0.7189031281342861 -0.6132450622412491 0.38852325266873144] [0.5666040583415437 0.16737810905063166 -0.7214529337240712 -0.13685551583650857 0.1800053948530136 -0.36701518016321444] [-0.2821474483545594 0.8871726254509047 -0.8417637546236503 0.22500048447661358 -0.5562751274911797 0.2407322669242562] [0.22309998982983514 -0.4479834088798067 0.6427255560754164 0.9888362410855582 -0.4263871174409992 -0.5114023289187739] [-0.13141498557844122 0.24175904127064496 -0.795056163384096 -0.050339282492693815 0.5001861744079903 0.9257858020319911] [-0.6852524894699072 0.22595862216143203 -0.7522505737467693 0.9710803877954775 0.8385082238262735 -0.1213763841802955] [-0.27405566104251977 -0.06935882608797272 0.014674679156862602 -0.2570696666895922 -0.10252548690514063 0.0636323495428095] [-0.39781093401876766 0.5144801752867034 -0.6924964326385437 0.9105675444448065 -0.8774955200815868 0.21045530678651514] [-0.3137275066195062 0.7467661215350025 -0.9889413937814535 0.29613843562263287 -0.6490179757734698 0.8127883584524951] [-0.955440122337202 -0.6746496811762099 -0.7869519195875814 0.6217615594693537 -0.8555661479610077 0.3267658838945662]],[0.5666040583415437 0.16737810905063166 -0.7214529337240712 -0.13685551583650857 0.1800053948530136 -0.36701518016321444],0,-146.80494665862497
3,9.9,134,-22,23,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.8602411343736138 -0.24378443194405364 0.022236649445063428 0.4747960920381773 -0.6636037865667255 -0.9924930242891254] [-0.3007030735720806 0.46209179500161635 0.2721922902876881 -0.38413090181853016 -0.12298014654361422 -0.9537272810343742] [-0.6801304691935637 0.5384412450531577 0.2829116143789936 -0.48758951887950985 -0.13540898020479264 -0.24874287918422522] [0.6924151659732649 -0.33412730437451876 -0.6864724090002117 0.508831906628654 -0.1286594333832516 -0.9247769832417545] [-0.2649454977618835 0.786217776997608 -0.10481973358915675 0.9259441282898355 0.9729119786915144 0.03386659500298106] [-0.35635234429458773 0.4911264611011419 -0.9489191138498323 -0.05124261562158661 0.9994715825987828 -0.2070495508257748] [-0.05287497495228255 -0.15367774347511598 0.25109522932463335 0.42895678348001076 -0.30747915758829336 0.6674434035638177] [0.37949443574815755 -0.9115751917100401 -0.043789113587547446 -0.6586493334410568 0.7488812823317945 0.7029930350550735] [-0.468586943780015 -0.47858548059429196 0.06779391676158908 -0.812900396876892 0.5536697316643442 -0.49494092344170504] [0.35077043597880553 -0.4797297857423881 0.9539369188051967 0.5661770346666029 -0.9727436686554054 0.0499156801778069]],[-0.05287497495228255 -0.15367774347511598 0.25109522932463335 0.42895678348001076 -0.30747915758829336 0.6674434035638177],0,-40.75279672100164
4,9.9,167,-15,17,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.5472423666032911 -0.622078749879801 0.02428470311431763 -0.16753748207346786 0.2564567298028224 0.7347659687326262] [0.7929788021128368 0.8215323679415529 -0.6803704362659484 0.5572967818725068 0.788996810343134 0.9499460845122281] [-0.5043693010273702 0.6323777172147886 0.09999412341463731 0.9181063521111312 -0.8372456041763516 0.8380413094140138] [-0.7576039886098938 0.2243821525700418 -0.8256992521907565 -0.609398136710845 -0.8559785791172689 0.46199040357400656] [-0.2869919093784439 0.6289158138738726 0.5602583424710135 -0.19611149652548532 -0.332452280663472 0.027154415712145274] [-0.3520990370811987 0.1398121966321988 0.4164486956610065 0.6500223943406731 0.5777407218291226 -0.29062475978726754] [-0.10488620910313018 0.11961203772452 -0.6844927888694785 -0.6597192535162058 0.5002097059326267 0.593012613880926] [-0.04461440418918494 0.12333927677078838 0.9295117283809162 0.05217729641692226 -0.8101526890894319 0.8238404089647378] [0.6490649697081716 -0.25032438178510974 -0.2754005108016211 -0.17976708619177573 0.05119131222096307 -0.40854103078003834] [-0.3591416533619587 0.3616483903618368 0.03374320420306587 0.537807613013318 -0.7517634172904071 0.13508002590176638]],[-0.04461440418918494 0.12333927677078838 0.9295117283809162 0.05217729641692226 -0.8101526890894319 0.8238404089647378],0,-68.51022673932502
5,9.9,223,-3,8,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.7491195591386508 0.561177208651316 0.7317675608908714 -0.985884137980519 -0.8898709263321722 -0.1146632450871774] [-0.2886132186231527 -0.26150641696237265 0.19595713753704724 0.05401821814709762 0.28646079875998076 0.06742460495864466] [0.7867210229901904 -0.6742556790076382 -0.38300670649400925 -0.8770708655291584 -0.3805867466848123 0.9168293079631158] [0.6062384964327896 0.8769342518245755 0.8454477329202945 -0.8620082113377365 0.7483584108604557 -0.23910538749297494] [0.10521428085754114 0.975021735932885 0.5944932597850137 -0.770144975955894 0.5222460955207351 -0.2796248041635332] [-0.7086590109067219 0.26912804337916674 0.5478121660707054 0.9260148389941472 -0.3346578998199452 -0.7035009808107453] [0.3407128593247948 -0.9312710565496971 -0.5321170994709836 -0.37634534275987797 -0.44663153656884247 0.7533391025426011] [-0.04809946585423819 -0.20341121624029368 -0.30019336166059074 0.348224828015794 -0.0221260218681405 -0.4216878177081178] [0.21033614866318806 0.5531910821341912 -0.7497068035925194 -0.5409233236576203 0.8814576115877377 -0.8503119659330203] [-0.9209772844417554 0.8392159975889559 0.7724556330675654 0.8157836263242364 0.8634563351878488 0.6666558535436189]],[0.10521428085754114 0.975021735932885 0.5944932597850137 -0.770144975955894 0.5222460955207351 -0.2796248041635332],0,74.75691934488984
6,9.9,313,-8,4,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.24608266112832444 0.19518607659377873 0.9243836025653576 0.24299573568606037 -0.09708967405734614 -0.2179555728851621] [-0.5447172218359626 0.7342361850632291 0.699982576402278 -0.9833108861631132 -0.7416557032303022 -0.7546082198622464] [0.7474129475079228 -0.2873081336540422 0.10317319678295633 -0.6076934064317348 -0.7882080155583564 0.5476818462100106] [0.2713584137470293 -0.9036755708225184 -0.007824495426967726 0.3704230589682451 0.20238107698403884 -0.7586643640380648] [-0.3408048607894285 -0.3430998553712563 0.7360615002252091 -0.8153048037700661 0.2211973641416849 -0.7179995752159902] [0.6294249966140555 0.28991104284444114 0.44205439588261997 0.2727901978952736 0.04720006551091771 -0.41420586002297766] [0.27928505629249556 0.1351790495391283 0.24031872996422332 -0.19559210094487867 -0.037084596436387285 -0.3502301455047663] [0.9289641979320353 0.8777133974501976 -0.4036587369791049 -0.6686649738848285 0.004327817113314536 -0.7462846120898374] [0.8824359983176118 -0.15355115754662285 0.3103898614024785 0.3964206568233086 0.7355025188071485 0.5283383470949243] [-0.3605023769841942 -0.25008917863769553 0.514043505953045 -0.6398502619616673 0.6159921892264217 -0.748707875690334]],[0.7474129475079228 -0.2873081336540422 0.10317319678295633 -0.6076934064317348 -0.7882080155583564 0.5476818462100106],0,-61.05587541558148
7,9.9,288,-5,10,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.7927622651979347 0.6042301509271173 -0.5954921692390556 0.7036310896327334 -0.3040696181750684 -0.18193220644548624] [-0.8482461278937312 -0.9414143066499385 -0.41881052125493934 0.7336060601457461 0.8375908694816905 -0.7195422992199272] [-0.5096494225961161 0.38863427775024806 -0.21972085498992855 -0.8315786888289862 0.38218785986951076 0.5754352719940461] [0.035871559529992325 0.6501096979306746 -0.40150242924166046 0.6505269165699863 -0.2556503830617245 0.19271192997011277] [-0.34558464579586623 0.5475012898923486 0.8329657318355874 0.9030792924166862 0.4686778776993463 0.9047154530181178] [0.20566259073936188 -0.6960961175130951 -0.8950387168528151 -0.16698055007999368 0.028609413717345378 -0.8472858036652786] [0.6301136134301739 0.09737637787489195 0.5234964351096476 0.7018856762176955 -0.9826077004540477 -0.8959720849707309] [0.34652823010581835 -0.9675377626139299 -0.7229190947222239 0.8477981292069088 0.3241497129647144 0.631383926242381] [-0.33259917526013205 0.52219633591358 -0.8220016898174571 -0.5321405568751558 -0.9157307435805966 -0.27840653415645655] [-0.053701991678634986 0.9032413528365308 -0.36248926187769026 0.9966205159531429 0.5731160303924556 -0.27810388662460395]],[0.7927622651979347 0.6042301509271173 -0.5954921692390556 0.7036310896327334 -0.3040696181750684 -0.18193220644548624],0,67.37548650298997
8,9.9,140,12,-21,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.7931301589424371 -0.9867445623736935 -0.3517985340314971 0.3950078528152319 0.8509948512384515 -0.1325466487458835] [0.5073157412573535 -0.28519251419978464 0.3555728415731234 -0.6007559133298639 -0.4325988280390307 0.04206010763818546] [-0.7862830203732185 0.8631619938251556 -0.2854297349131365 0.2397268958797265 -0.8249126512796798 0.5535307749159417] [0.9469519583340917 -0.11445846058133036 0.12389106622327173 -0.8998103080860032 -0.7170109716089272 0.3342646642253819] [0.5754721338027313 -0.04738482601924354 0.7528588383823529 -0.4688617897228733 0.974271135443807 0.9845769408761178] [-0.00939315476917435 -0.5048518389291929 -0.14091025218966857 -0.8787357775064415 0.9900325607437868 -0.027357708844383932] [-0.2797574973290371 -0.16705912626614094 0.12061499024053113 -0.7692759439765486 -0.574618105858679 -0.19628649823073863] [0.4351318657615666 -0.16945471866773043 0.7691302386891943 -0.28457380841646285 0.650440918355681 0.4582457468743222] [0.253304569636976 -0.3469372701137339 -0.2831053704543487 0.6842017451771518 0.8940241263502906 0.41120560421831054] [0.8709466294973496 -0.17333667398203612 0.4122116475383921 -0.40283557680584026 0.13611937751553183 -0.008338637870636045]],[0.9469519583340917 -0.11445846058133036 0.12389106622327173 -0.8998103080860032 -0.7170109716089272 0.3342646642253819],0,85.15514357619946
9,9.9,355,7,-12,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.9605146026677676 -0.6543750304670524 -0.10810773424243525 0.814753190335811 -0.5077342975778174 0.924911184400204] [-0.8443890160634402 -0.40291990983478043 0.3628434134095251 -0.718047862600057 -0.8521110795837297 0.36426504058418585] [0.014536007608529689 -0.43542056866052925 0.1936115069655382 -0.3534160580654535 0.6696558720565762 -0.5752237057479497] [0.5468912612810579 0.7662768968618836 -0.4302954620135564 0.03362126428084711 0.8987431941824933 0.6539797103386715] [0.9816475153891655 0.20469680692971304 0.31593961529106074 0.24036314999207886 0.5834384633881444 -0.7833297988656054] [-0.7379091054188653 -0.12361210427430924 0.6551499067163038 0.1703997870033127 -0.4024294568654967 0.8419045696293144] [-0.076020583763734 0.8277970433173079 0.46207248526528644 0.6162828526161521 -0.6942257438000956 0.7334005438568156] [-0.13307271343817573 -0.7255918626910769 -0.6626942430182061 -0.3226269146776011 -0.015514673891879438 -0.5621636119341042] [0.20696481207744477 -0.025598458534043855 0.5561874875281938 0.9331964590213373 -0.8159906521401936 0.9965422206283501] [-0.8065797012323963 0.9829117167750816 -0.8944486581373188 0.055691377003272535 -0.3890275256736013 0.3875171992693176]],[0.20696481207744477 -0.025598458534043855 0.5561874875281938 0.9331964590213373 -0.8159906521401936 0.9965422206283501],0,-61.13793605302604
